student_id,age,gender,study_hours_per_day,uses_ai,ai_usage_time_minutes,last_exam_score,assignment_scores_avg,final_score
120,16,Male,5.7,0,3,44,85.3,40.4
121,18,Male,1.3,1,0,45,61.1,59.7
122,16,Male,3.2,1,104,87,45.9,47.0
123,14,Female,3.7,1,65,81,95.5,88.2
124,18,Female,2.3,1,162,38,79.8,57.0
125,23,Male,5.1,0,80,32,90.4,36.1
126,20,Male,4.7,0,137,48,38.1,49.4
127,20,Female,4.5,1,67,73,79.3,71.9
128,24,Female,6.0,1,101,92,74.8,77.2
129,22,Male,1.9,1,50,61,63.9,47.7
130,23,Female,4.5,1,29,81,39.9,57.9
131,23,Male,3.5,1,38,90,59.0,76.0
132,16,Male,2.2,1,137,90,73.2,73.3
133,20,Female,1.4,1,171,40,77.4,54.7
134,14,Female,5.4,1,159,28,38.2,37.4
135,17,Male,3.8,1,171,64,61.1,66.5
136,17,Female,5.0,1,62,46,59.8,55.9
137,18,Male,3.5,0,60,67,85.0,55.3
138,20,Female,1.7,0,64,88,32.9,60.9
139,20,Female,2.4,0,168,24,85.0,42.2
140,24,Female,2.6,0,80,91,84.8,88.2
141,17,Female,5.9,0,11,34,78.8,40.2
142,20,Male,0.5,1,123,96,93.0,77.4
143,24,Female,5.9,1,1,63,62.6,55.0
144,16,Female,5.9,0,72,66,36.7,46.1
145,19,Female,6.0,1,75,51,53.2,58.5
146,15,Male,3.1,1,24,55,72.8,64.4
147,23,Female,5.8,0,117,68,52.6,49.4
148,22,Female,2.7,1,107,72,74.3,67.5
149,18,Male,0.6,0,98,42,33.1,34.6
150,19,Female,1.7,1,21,53,34.9,38.7
151,17,Male,5.7,0,55,37,30.7,47.9
152,24,Male,0.6,1,148,31,98.3,61.8
153,23,Female,3.5,1,54,21,48.3,24.1
154,20,Female,0.9,0,39,46,85.7,52.4
155,22,Female,2.1,1,178,69,92.1,58.0
156,20,Male,1.0,0,149,50,41.0,50.1
157,14,Other,5.2,1,155,67,43.9,40.2
158,14,Male,3.8,1,120,88,56.8,58.8
159,22,Male,5.5,1,3,36,65.3,41.9
160,24,Male,4.3,0,25,62,67.4,62.7
161,22,Female,5.8,0,111,90,57.0,72.6
162,17,Female,3.3,1,112,37,71.0,47.4
163,22,Female,4.0,0,22,85,81.5,70.5
164,16,Female,3.7,1,168,50,79.0,69.0
165,20,Male,3.2,1,57,82,32.1,66.1
166,19,Female,5.2,1,7,47,71.5,59.6
167,21,Male,4.0,0,115,86,79.9,81.4
168,24,Female,4.9,1,50,28,44.0,42.3
169,22,Male,4.8,1,0,47,72.3,57.0
170,18,Female,1.6,1,119,37,37.8,30.2
171,14,Female,4.1,1,29,34,76.5,35.5
172,16,Female,1.6,0,16,94,73.4,76.8
173,23,Female,3.7,0,150,24,46.9,53.5
174,21,Male,4.2,0,101,60,91.3,69.0
175,24,Female,6.0,1,121,95,86.5,85.8
176,19,Male,0.7,0,151,93,81.7,78.2
177,21,Female,1.0,1,85,92,62.2,63.4
178,22,Female,0.9,1,68,85,45.9,61.0
179,17,Male,2.7,1,88,92,84.8,90.9
180,14,Other,5.0,0,179,70,45.0,56.4
181,14,Female,5.1,1,70,35,64.1,56.7
182,23,Male,4.6,1,57,84,56.5,65.3
183,17,Female,5.4,0,149,76,44.1,59.1
184,20,Male,2.3,0,58,56,73.0,69.9
185,15,Female,1.0,1,171,58,98.7,61.7
186,16,Female,0.8,1,36,84,63.3,71.5
187,14,Other,5.2,0,161,68,65.0,59.2
188,18,Female,4.5,0,99,66,56.1,56.4
189,14,Male,4.3,0,112,59,46.0,45.7
190,21,Female,2.4,1,167,33,49.8,52.4
191,14,Male,2.6,1,19,59,91.3,45.6
192,24,Female,5.8,1,16,67,96.4,80.7
193,14,Female,0.9,1,179,51,87.8,59.6
194,15,Male,4.8,1,3,58,31.9,57.2
195,15,Male,2.2,1,49,52,72.5,64.0
196,19,Female,0.7,0,81,49,68.4,67.0
197,20,Female,4.6,1,49,45,84.2,43.9
198,18,Male,2.3,0,15,62,84.6,59.3
199,14,Male,4.5,1,71,74,60.7,65.3
200,14,Male,4.4,0,60,63,50.1,56.8
201,16,Female,3.4,0,43,97,36.8,54.9
202,15,Male,4.8,0,145,95,72.8,63.0
203,18,Female,3.7,1,49,22,49.2,36.1
204,23,Male,2.1,1,79,26,97.5,48.1
205,19,Female,4.5,1,29,77,33.3,45.2
206,20,Male,3.7,1,48,29,97.5,59.3
207,17,Female,0.6,1,97,29,64.7,51.7
208,20,Male,5.5,1,148,61,72.5,67.4
209,24,Female,3.5,0,149,53,70.8,69.8
210,21,Male,5.3,1,174,45,82.7,62.1
211,24,Female,5.4,0,24,79,36.4,60.6
212,14,Female,2.9,1,55,21,92.1,39.8
213,19,Male,3.3,1,155,92,85.4,72.9
214,21,Female,2.8,1,160,64,89.5,78.6
215,18,Female,3.0,0,3,24,64.0,44.4
216,17,Male,5.4,1,11,45,78.8,57.2
217,15,Male,4.8,1,144,98,62.0,77.4
218,19,Male,1.2,1,35,44,39.1,48.3
219,19,Female,3.9,1,15,45,51.1,55.2
220,24,Female,6.0,0,150,41,49.5,40.2
221,14,Male,3.8,1,120,38,41.6,53.9
222,22,Female,4.8,0,136,29,46.9,50.1
223,24,Female,4.7,1,77,61,64.9,58.6
224,19,Female,2.4,0,54,50,59.6,59.0
225,16,Female,2.5,1,72,50,53.0,55.1
226,17,Female,4.5,1,63,94,93.5,69.4
227,24,Female,3.2,1,174,55,84.5,59.0
228,17,Male,3.6,1,89,85,30.2,49.5
229,16,Female,4.4,0,137,51,69.9,61.5
230,23,Female,4.8,1,88,86,79.0,64.1
231,16,Male,2.0,1,3,82,33.7,46.4
232,16,Female,1.3,1,29,42,38.0,41.5
233,17,Female,2.1,0,138,69,49.5,49.9
234,20,Female,3.3,0,50,84,73.0,68.6
235,17,Male,2.4,0,146,88,94.6,83.4
236,22,Male,3.6,1,140,63,64.0,52.1
237,14,Female,0.8,0,130,77,98.8,77.0
238,21,Female,3.3,1,111,76,95.6,76.1
239,20,Male,2.5,1,77,56,74.6,71.8
240,15,Female,3.4,1,165,84,62.1,75.5
241,21,Female,2.8,0,26,37,77.7,45.6
242,14,Male,2.1,1,87,24,85.4,52.3
243,24,Male,5.5,1,137,45,96.0,59.3
244,22,Male,1.5,1,117,52,82.7,63.1
245,22,Female,4.2,1,154,61,57.4,61.9
246,15,Male,5.6,0,6,46,64.5,52.7
247,20,Male,3.5,1,114,73,33.3,52.3
248,23,Male,5.3,0,91,98,32.0,61.5
249,16,Male,1.2,1,89,94,49.7,67.2
250,20,Male,3.2,1,81,43,86.4,50.1
251,23,Male,3.0,0,12,22,52.3,33.2
252,22,Female,0.5,1,71,58,38.2,58.3
253,17,Female,2.9,1,90,90,54.9,57.3
254,14,Male,2.5,1,141,31,51.4,38.9
255,15,Male,4.2,0,104,52,99.3,66.8
256,14,Other,5.7,0,43,41,98.0,67.1
257,18,Male,1.0,1,83,54,81.6,65.5
258,18,Male,2.3,0,27,33,88.0,65.9
259,24,Male,2.9,1,22,45,47.8,44.3
260,20,Male,3.0,0,11,73,67.6,66.3
261,22,Female,4.8,0,151,60,99.9,73.9
262,22,Male,2.9,1,50,64,52.6,51.2
263,16,Female,0.6,1,107,50,99.0,72.2
264,16,Male,4.4,1,149,88,43.2,67.5
265,16,Male,5.4,1,61,36,73.4,53.7
266,17,Female,3.3,1,25,79,84.7,57.6
267,21,Male,3.7,1,57,23,71.5,30.3
268,19,Female,1.4,1,142,29,51.6,51.3
269,21,Male,1.7,1,67,28,87.0,32.9
270,14,Female,1.8,1,5,80,44.1,63.7
271,21,Male,2.9,1,110,41,60.1,59.5
272,17,Female,5.6,1,129,40,49.6,29.3
273,24,Male,3.4,0,158,42,64.7,55.7
274,14,Female,1.6,0,23,80,57.1,67.1
275,21,Male,2.0,0,34,31,42.5,34.0
276,17,Female,2.6,0,46,36,81.9,65.4
277,19,Male,3.9,0,30,74,42.4,70.2
278,21,Female,2.9,1,88,40,68.2,41.5
279,17,Male,2.7,1,75,73,86.3,73.8
280,16,Male,3.6,0,117,66,63.8,58.0
281,22,Female,1.8,1,129,60,92.1,64.9
282,16,Male,0.9,1,103,34,60.0,24.8
283,22,Male,0.6,1,58,78,97.9,84.0
284,15,Female,1.9,1,95,34,31.7,24.6
285,15,Other,1.0,1,62,48,85.4,62.7
286,15,Male,2.3,0,144,30,79.6,47.4
287,19,Female,4.8,0,53,48,72.8,54.3
288,16,Female,4.4,0,124,75,50.7,64.8
289,22,Male,3.9,1,148,72,72.8,68.6
290,17,Female,5.2,1,21,22,71.6,50.4
291,14,Female,2.1,0,124,32,40.5,31.6
292,17,Other,5.4,0,96,57,91.6,71.5
293,14,Male,2.7,1,115,89,67.4,69.6
294,18,Female,2.7,1,28,30,36.2,38.2
295,17,Male,2.7,1,148,42,57.4,62.3
296,21,Male,1.0,1,1,92,45.2,72.4
297,21,Male,5.9,1,41,75,41.8,60.2
298,20,Other,1.3,0,51,36,96.2,57.2
299,16,Female,2.4,1,37,28,77.2,56.3
300,14,Female,2.3,0,130,47,51.1,60.4
301,14,Female,0.9,1,152,98,77.5,73.3
302,24,Male,1.3,1,76,38,86.2,61.2
303,16,Male,0.7,0,142,23,52.2,43.5
304,19,Male,2.1,1,104,66,98.9,73.3
305,20,Male,5.3,1,9,66,91.7,65.6
306,19,Female,2.4,0,119,50,85.8,45.6
307,19,Female,1.2,0,126,24,80.1,61.7
308,19,Male,4.1,0,113,52,32.7,57.3
309,16,Male,6.0,1,68,67,31.6,60.0
310,19,Male,1.8,1,108,51,41.5,44.3
311,21,Male,2.0,1,43,98,94.2,82.5
312,24,Female,5.8,1,168,78,45.2,43.0
313,24,Female,1.5,1,19,83,79.1,70.6
314,15,Female,3.3,1,106,66,98.6,80.4
315,18,Male,1.8,1,164,28,95.6,59.2
316,14,Male,5.6,1,166,54,58.0,45.9
317,14,Male,5.9,1,118,66,77.7,66.3
318,18,Female,5.0,0,108,36,83.2,46.3
319,16,Female,2.2,0,7,20,68.5,44.6
320,17,Male,2.7,0,42,74,66.6,72.4
321,16,Female,1.8,1,137,30,45.6,52.5
322,14,Female,5.4,1,40,52,77.3,62.6
323,14,Female,5.5,0,131,89,50.6,52.5
324,18,Female,2.8,1,131,75,51.6,64.5
325,19,Female,4.1,1,23,83,48.6,59.2
326,16,Female,1.4,1,20,77,34.6,43.2
327,22,Male,2.9,0,137,39,89.1,68.2
328,18,Male,4.0,1,45,37,90.4,52.8
329,21,Male,2.6,0,120,97,80.7,76.4
330,14,Male,2.5,0,43,64,94.9,77.7
331,18,Female,0.5,1,99,62,74.2,55.0
332,16,Female,4.9,1,32,39,74.8,52.7
333,14,Male,5.4,0,93,76,92.1,65.3
334,17,Female,5.8,1,35,46,44.6,40.0
335,18,Male,4.5,1,152,37,60.5,40.3
336,20,Male,3.5,1,12,36,79.3,51.1
337,14,Male,2.0,1,166,79,48.8,42.7
338,16,Male,6.0,0,165,24,46.0,33.7
339,15,Male,3.7,1,157,25,92.9,58.8
340,22,Female,4.2,0,13,34,99.7,67.7
341,23,Male,4.3,1,49,58,57.0,52.5
342,19,Other,5.1,0,67,99,46.6,65.2
343,23,Male,0.6,1,0,58,58.3,62.9
344,16,Male,1.7,0,2,40,51.3,46.6
345,21,Male,4.2,1,177,32,87.5,54.5
346,21,Female,5.4,1,163,48,93.1,49.7
347,15,Male,4.3,1,131,24,57.4,47.4
348,19,Female,2.8,0,170,86,72.0,76.4
349,20,Female,2.5,1,13,40,35.5,27.9
350,15,Female,4.6,0,88,28,62.4,47.4
351,24,Female,4.6,1,102,86,30.5,59.4
352,23,Male,3.8,1,124,63,77.0,66.8
353,15,Male,2.1,1,66,81,42.3,55.5
354,23,Male,5.6,1,6,86,91.5,90.7
355,14,Female,3.5,0,7,81,74.1,74.8
356,21,Male,4.8,0,43,81,95.0,77.9
357,14,Male,1.7,1,134,79,95.7,75.8
358,22,Other,2.4,1,47,68,41.8,54.0
359,24,Male,5.3,1,61,58,65.9,52.4
360,19,Female,0.8,1,24,60,43.7,42.6
361,20,Female,3.3,0,117,69,61.7,54.0
362,23,Male,3.1,1,112,36,61.5,52.2
363,20,Male,4.6,1,145,72,81.5,57.1
364,23,Male,2.1,1,121,74,98.3,74.6
365,16,Female,1.7,1,3,97,74.0,82.7
366,15,Female,5.6,1,144,94,87.1,77.2
367,22,Female,3.6,1,46,75,58.3,69.1
368,21,Female,1.1,1,117,20,35.1,36.9
369,23,Female,1.6,1,44,84,66.0,67.5
370,20,Male,6.0,0,88,83,93.3,60.4
371,22,Male,1.6,0,2,71,46.8,65.1
372,17,Female,3.9,0,139,34,48.4,46.9
373,17,Male,2.8,1,144,21,37.3,31.8
374,14,Male,5.4,1,117,31,99.8,53.7
375,21,Female,4.7,1,21,64,59.0,43.1
376,16,Male,3.8,1,38,76,50.9,55.2
377,20,Female,0.6,0,38,61,94.9,63.6
378,15,Female,5.3,1,106,21,86.8,52.3
379,15,Male,2.9,0,99,81,91.4,85.6
380,20,Female,5.6,1,15,53,96.5,74.7
381,19,Male,3.2,0,178,36,90.0,51.8
382,16,Male,4.3,1,117,60,99.0,76.0
383,22,Male,0.9,1,28,97,74.8,67.1
384,23,Male,4.6,1,70,94,46.9,67.6
385,19,Female,2.4,1,168,90,41.7,54.1
386,23,Male,2.4,0,155,84,72.2,67.1
387,23,Male,1.2,0,76,34,55.1,36.5
388,19,Male,1.3,1,148,57,39.2,49.7
389,14,Female,1.5,1,131,92,85.8,76.6
390,17,Female,2.3,1,125,84,54.5,65.5
391,23,Male,5.4,0,98,28,61.2,52.6
392,19,Male,2.5,1,115,61,72.8,67.6
393,19,Male,4.5,1,14,85,58.1,77.4
394,24,Male,1.0,1,89,70,90.6,61.4
395,18,Female,3.8,1,173,97,98.8,79.1
396,14,Female,3.2,1,134,99,57.0,63.7
397,21,Male,5.9,0,145,38,42.5,34.8
398,18,Male,5.2,0,88,50,49.5,39.1
399,18,Male,3.0,1,148,85,77.2,61.7
400,20,Female,4.8,1,115,51,35.8,39.0
401,17,Male,1.6,0,135,94,77.2,78.0
402,19,Other,3.6,1,19,27,66.9,30.8
403,17,Female,0.9,0,81,88,33.2,56.0
404,16,Male,2.4,1,116,51,58.8,53.3
405,20,Female,1.7,0,66,66,46.1,54.9
406,21,Female,4.5,1,61,89,39.1,65.1
407,17,Female,3.2,1,17,27,95.9,60.8
408,15,Male,4.6,0,90,53,50.4,45.1
409,23,Male,3.3,1,109,23,64.6,52.0
410,16,Female,1.0,0,55,55,72.8,54.0
411,14,Female,4.5,1,84,63,74.0,78.4
412,21,Female,5.1,1,149,44,56.7,53.8
413,16,Female,5.5,1,7,45,48.9,35.9
414,23,Female,3.6,1,138,52,69.5,65.0
415,20,Female,4.6,1,106,28,85.6,50.9
416,23,Male,4.6,1,11,66,92.6,67.1
417,18,Female,1.4,0,175,91,71.4,77.0
418,23,Female,1.4,0,102,36,67.0,52.3
419,18,Female,0.9,1,62,34,97.6,44.4
420,20,Female,2.3,1,26,61,44.2,47.8
421,22,Male,3.1,1,34,73,31.2,43.9
422,18,Female,6.0,0,129,32,64.5,42.9
423,14,Female,2.9,1,135,69,34.1,56.3
424,23,Male,4.5,1,19,63,34.1,46.1
425,23,Male,4.3,1,7,22,32.3,23.4
426,14,Male,1.6,0,67,72,73.3,63.3
427,15,Male,0.8,0,158,75,73.8,64.9
428,19,Male,3.5,0,159,73,47.9,49.4
429,22,Male,4.4,1,140,76,61.5,73.2
430,21,Female,6.0,1,85,31,59.3,44.4
431,18,Female,2.5,0,25,78,64.5,61.0
432,14,Female,5.4,1,80,84,44.0,59.6
433,20,Female,2.6,1,156,56,86.9,57.1
434,18,Male,4.3,0,119,39,50.2,44.3
435,19,Male,3.8,1,17,91,52.9,67.2
436,20,Female,0.8,1,68,56,75.5,61.7
437,16,Male,0.9,1,139,50,98.7,46.1
438,23,Other,0.6,1,129,44,44.3,59.3
439,16,Female,2.5,1,169,69,55.1,50.9
440,18,Female,4.6,0,134,68,56.2,42.9
441,19,Other,1.5,0,46,27,67.0,47.5
442,22,Male,3.8,0,122,54,88.5,56.1
443,18,Male,2.1,1,53,32,80.8,56.7
444,14,Female,4.9,0,14,40,44.4,47.2
445,17,Male,4.9,0,160,92,79.9,90.1
446,18,Female,4.8,1,175,43,38.8,26.9
447,23,Male,3.4,1,65,67,43.4,48.8
448,23,Female,2.1,0,80,52,57.6,45.0
449,18,Female,5.0,0,35,20,54.1,33.1
450,20,Female,1.5,1,16,91,90.9,74.9
451,17,Male,2.1,0,1,22,99.8,56.5
452,14,Male,1.5,1,32,33,44.2,58.6
453,18,Female,4.2,1,92,33,76.0,55.6
454,20,Male,4.3,0,123,68,70.8,61.3
455,23,Female,4.1,0,133,52,83.9,49.6
456,23,Female,2.8,0,170,23,79.0,41.8
457,19,Female,1.1,0,99,57,49.3,49.9
458,18,Female,5.5,1,87,44,88.9,63.9
459,17,Male,3.3,1,10,66,63.5,55.5
460,15,Female,2.7,1,4,32,95.3,33.8
461,17,Female,3.7,1,29,58,69.2,61.4
462,23,Male,1.6,0,137,44,50.4,46.4
463,23,Other,1.2,0,90,92,92.7,74.3
464,16,Male,2.7,1,90,62,87.8,60.5
465,23,Male,1.7,1,151,57,96.3,70.1
466,14,Male,1.8,1,121,54,92.5,66.0
467,21,Female,5.4,1,117,74,47.2,69.4
468,18,Male,3.4,1,60,69,87.1,75.7
469,17,Female,3.2,0,101,97,71.6,73.1
470,21,Female,4.3,0,25,53,58.2,54.2
471,20,Male,5.7,0,108,44,30.5,52.4
472,15,Male,1.1,1,111,61,78.8,67.3
473,14,Female,5.1,0,38,70,89.8,76.9
474,24,Male,3.7,1,2,56,72.3,76.6
475,17,Female,1.3,1,37,85,51.8,63.6
476,21,Male,2.1,1,41,53,34.0,49.4
477,15,Female,3.2,0,47,57,76.1,53.8
478,16,Female,4.3,1,12,50,58.3,60.3
479,14,Male,1.8,1,88,45,64.8,47.5
480,14,Male,3.4,0,87,95,69.5,58.4
481,16,Male,4.3,0,55,45,83.8,56.0
482,24,Male,3.0,1,62,82,67.6,53.8
483,18,Female,5.2,0,79,67,66.8,52.0
484,16,Female,5.3,1,42,98,63.7,59.3
485,14,Male,3.1,1,74,29,59.9,45.1
486,14,Female,5.9,0,56,55,73.6,63.0
487,21,Female,0.9,1,148,59,31.7,48.6
488,23,Male,0.5,1,172,45,80.6,39.4
489,24,Male,2.6,0,163,28,52.0,38.8
490,15,Female,3.8,0,62,72,56.1,47.0
491,16,Female,4.0,1,125,89,73.0,83.9
492,15,Female,3.1,0,124,99,47.3,64.0
493,16,Female,1.2,0,0,72,76.1,67.8
494,20,Male,1.4,0,91,58,38.9,55.7
495,14,Female,5.2,0,118,80,75.5,77.2
496,23,Female,5.3,1,160,71,80.2,53.1
497,21,Female,4.2,1,31,87,79.0,64.7
498,23,Male,4.2,1,125,87,84.2,77.0
499,23,Male,3.8,1,25,92,66.2,73.7
500,23,Male,1.6,1,60,97,90.5,92.9
501,15,Female,2.9,0,111,61,46.3,54.9
502,16,Male,4.3,0,144,86,56.8,72.0
503,22,Male,3.5,1,68,94,97.0,92.1
504,20,Male,0.6,1,28,70,85.2,77.3
505,17,Male,5.7,1,62,22,82.0,56.8
506,23,Female,5.1,0,133,32,79.8,62.7
507,18,Female,1.9,0,104,32,37.7,43.9
508,15,Female,3.9,1,114,80,96.5,57.8
509,24,Male,5.6,1,20,43,50.5,46.4
510,21,Female,1.0,1,172,39,40.1,42.1
511,17,Male,3.3,0,172,93,31.3,53.6
512,22,Male,3.0,1,86,74,57.1,58.0
513,18,Male,2.8,0,34,54,77.1,66.9
514,22,Male,5.1,0,51,97,57.4,65.3
515,17,Male,2.6,0,45,99,86.6,70.7
516,23,Female,0.9,1,56,49,42.7,38.7
517,18,Female,0.9,1,41,52,41.9,53.3
518,22,Female,0.7,1,76,60,48.6,59.7
519,21,Male,2.8,0,97,85,33.8,54.1
520,16,Male,4.5,0,15,68,88.7,74.4
521,14,Male,1.6,0,132,27,39.4,26.3
522,16,Other,4.1,1,0,22,56.6,36.9
523,17,Female,4.3,1,149,84,62.4,67.8
524,15,Female,1.9,0,47,91,46.4,71.8
525,14,Male,3.8,1,121,21,91.9,44.5
526,20,Female,4.3,1,25,60,81.5,55.0
527,21,Male,3.1,1,33,72,32.0,44.4
528,20,Female,2.4,1,113,94,60.7,73.2
529,18,Female,3.9,0,57,35,39.6,45.9
530,14,Other,5.9,1,134,28,74.7,38.6
531,20,Female,2.8,1,24,58,64.5,52.5
532,20,Male,2.7,0,139,83,86.6,65.3
533,22,Female,3.1,1,158,55,77.9,55.1
534,16,Female,0.9,1,26,42,87.3,60.8
535,22,Male,3.5,0,85,66,91.3,71.9
536,14,Male,2.3,1,161,68,42.6,45.0
537,14,Male,1.2,1,117,74,70.8,63.1
538,17,Male,3.1,0,80,29,41.1,37.3
539,22,Male,0.5,0,74,82,47.0,51.2
540,19,Female,2.7,1,92,45,45.9,51.2
541,24,Male,1.1,0,33,67,54.7,58.8
542,16,Male,0.6,1,114,49,85.2,44.9
543,14,Female,5.0,0,164,21,52.2,51.3
544,17,Female,5.5,0,112,48,82.2,52.1
545,22,Female,1.6,0,111,73,30.1,47.3
546,16,Male,3.5,1,59,51,70.5,57.7
547,22,Female,2.0,1,25,57,49.7,39.7
548,20,Female,3.2,1,125,40,81.9,43.3
549,17,Male,2.9,0,172,46,99.4,74.6
550,16,Male,2.0,1,44,53,67.3,66.5
551,23,Female,4.4,0,31,42,67.3,56.2
552,18,Female,1.2,0,70,97,98.2,85.2
553,18,Other,0.8,0,22,58,55.1,54.0
554,16,Female,4.7,0,166,88,57.7,76.4
555,22,Female,4.2,1,172,92,78.8,79.6
